"id","profileName","text","date","title","rating","images","helpful"
"R1Y6LYA3EVVHII","LibroReview","I personally believe that having a purpose on in life and then giving it your all is the most important to lead a happy life. This book validates so.Ikigai is a short but not very short book based on a Japanese concept. According to this concept, we find the deeply sown purpose of our lives from within ourselves by defining our passion, mission, vocation and profession. It gives you tips as to how the simplest things in our life, like sometimes, taking a pause, are what will give us a long and happy life.I bought a hardcover because of it’s extremely pretty cover. The cover itself will soothe your mind whenever you look at it. The title does go with the book but personally for me, not as I thought it would.If you are expecting it to help you find your Ikigai, give you step by step solution as to how you can find it and reward it with millions of dollars, you’ll be disappointed. This book is full of facts, real life experience from Japan’s Okinawa and compels you to focus more on you : your health, your choices, your focus and your inner happiness. It will probably be the only book you’ll come across that tells you to take it, relax, but also burn in your passion.The language is as simplistic and beautiful as the cover and it’s content. Not many tough words and very beginner-friendly in the reading world. The structure to is great with a prologue, 9 chapters, an epilogue and a list of more suggestions for you to explore in the end.Coming to the overall feel of the book, it’s very cozy. In it’s own way, it also does help you slightly to find your own Ikigai.I thought it would be a full on hustle kind of book but I felt relaxed after this read. I was ready to take on my tasks stress-free. Though it is not something extremely crazy and different, it definitely is a one-time read for all the hustlers or non-hustlers out there who think they have to punish themselves to get what they want.","Reviewed in India on 8 April 2019","The best book to read during your break time.",4,"","466"
"RZ17BL1V03BLO","Shravan","👍🏾:1. The cover design is really cool and the texture feels too good when you hold it.2. It’s a good read no doubt about it but I have seen many celebrities posting as if it’s one of a kind, but it isn’t.3. Looks lit in your insta story as you can see in the pic xD👎🏾:1. The book feels like a plain report summary at many places and there’s lack of artistic approach towards writing thus fails to capture our attention.2. Some concepts are explained with real examples(mental illness related) which can get bit uncomfortable and unnecessary to read if your are already happy in your life.3. The chapters on how to perform yoga or other forms of exercise feels like a manual reading and not at all effective.4. The book is not for those who want to explore happiness but it’s for those who wants to live long like 80+ xD5. The text book kind of material in some chapters that talks about our diet felt like a collection of articles and fails to make a point.I hope this helped you.","Reviewed in India on 3 October 2022","Overrated book considering the hype",3,"https://m.media-amazon.com/images/I/71p90mf2+rL.jpg",0
"RYU16KINEQ545","MSP Akash","Ikigai... Lovely book. One should definitely read it .","Reviewed in India on 6 October 2022","Ikigai",5,"https://m.media-amazon.com/images/I/61jttixEerL.jpg
https://m.media-amazon.com/images/I/71GXyadjZNL.jpg",0
"R15DBC59BRIE3T","Amit kotwal","Earliers books would come with nice bookmarks, not anymore. It would be really nice if you start giving bookmarks","Reviewed in India on 29 September 2022","Bookmark- request",5,"",0
"R885CQHTB5HE4","Sourangshu Sarkar","Very good book. I loved it very much.","Reviewed in India on 29 August 2022","Good book.",4,"",1
"R3HV4UU1T6UYVO","Samriddhi Bhandari","Book gives you an idea of how we should be content in life.","Reviewed in India on 25 September 2022","Must read",5,"",0
"R13MUHXH4GMSEO","Amit Meghwan","Very nice book","Reviewed in India on 2 October 2022","Nice book",5,"",0
"R8F6OSLLZGXE9","Ojas Dilip sontakke","the book is in good condition and delivered within time.page quality of book is good.","Reviewed in India on 18 September 2022","Page quality and condition",5,"https://m.media-amazon.com/images/I/61Da6+49+JL.jpg
https://m.media-amazon.com/images/I/61v9U6NQW6L.jpg
https://m.media-amazon.com/images/I/71VlY1fWFXL.jpg",0
"R2TT52QJZDS48J","Aniruddha Deshmukh","Very good","Reviewed in India on 7 October 2022","Excellent",5,"",0
"R1REAC18AC2YQD","Rifat","A boom which guides you to find some inner peace.","Reviewed in India on 15 September 2022","Nice book",5,"",0
"R35BFN0XFZY1SI","Gurjot Kaur","Honestly speaking, it's hard to follow everything mentioned in the book but if you follow even just some things it's gonna bring a huge change in your lifestyle.","Reviewed in India on 3 September 2022","Meaningful",5,"",1
"RIB4GV7FNS83T","Bhuvisha","Worth to buy...!😍","Reviewed in India on 17 September 2022","This book...!❤️🤗",5,"https://m.media-amazon.com/images/I/61LMSIvxWGL.jpg",0
"RZ194P6AVD8XN","Manish Kumar",,"Reviewed in India on 14 September 2022","Genuine",5,"https://m.media-amazon.com/images/I/71WTgzZcAeL.jpg",0
"RYIKKLFKHACWI","MOHAMED Fasil.","I'm sure at this point everyone know about this book, just go for it. It's kinda like philosophy and health tips. And i didn't read the second part of this book, yeah there is a second part. Choose the paper back version as hard covers can easily damaged by water","Reviewed in India on 30 August 2022","Must read",5,"","3"
"RY8TM0EONS1Z3","SHANTASAGAR","Good book, Explained in step by step.Everyone should read.Book tells us alot about how to live happily and long.","Reviewed in India on 8 September 2022","About",5,"",1
"R2GVFAI6YRW56R","Avnish Kumar","Some nice advice in bits and pieces and most of that is common knowledge. But the MAIN and LARGER question is still unanswered. Framework makes sense but how do we go about finding our Ikigai.","Reviewed in India on 28 September 2022","An average book overall",3,"",0
"R19LC7TZL9NXF6","Moses","Good read for knowing ourself.","Reviewed in India on 16 August 2022","Simple yet magnificent!",4,"","4"
"R1K4A9U0SFSX2","Anagha B.","I surely liked it and it's bestseller also so as expected it was awesome. Cover is also hard and pages are so good i love their texture","Reviewed in India on 26 July 2022","Both science and life....",4,"","2"
"R7OIH4DIT7YA8","VIVEK shekhar","Nice book 👍 you can try this","Reviewed in India on 9 September 2022","IKIGAI",5,"https://m.media-amazon.com/images/I/71HNGIhUggL.jpg
https://m.media-amazon.com/images/I/71qFFOQSMGL.jpg
https://m.media-amazon.com/images/I/71uipuzSKEL.jpg
https://m.media-amazon.com/images/I/81Ch+ObsrIL.jpg",1
"R1JKBN19C05U4J","balihar singh","Awesome","Reviewed in India on 11 September 2022","Awesome",5,"",0
"RFE4R7Q431O8N","Shripad 12","Good book","Reviewed in India on 10 September 2022","Good book",5,"",0
"R37249I4JJJSDX","archna","It's a good read. It's informative and educative, but, not in a boring manner. The chapters are short and packed with interesting content.The suggestions put forth can be very useful if followed in my view.The book emphasizes on physical and mental well being achieved through ikigai.One should be able to glean out the bits of wisdom that will be useful to her in particular.","Reviewed in India on 22 June 2022","A good book",4,"",0
"R3RFQ3Z13L4HAH","Manmeet"," Do give a read to this book.","Reviewed in India on 29 September 2022","Book cover and pages are of top quality.",5,"",0
"R21XF3Q1IY4Z49","dipashri acharya","Awesome","Reviewed in India on 12 September 2022","Everyone need to read this",5,"",0
"RH8S5O0TPGR93","Aswin Sankar","The print quality is amazing and the content is superb .I was really in a time when I needed this , if you are or know anyone in their youth 16- 25 give this to them and it's suitable for older audience as well .It's something you have to read irrespective of what you are interested in .","Reviewed in India on 13 August 2022","You won't regret buying this book",5,"",1
"R3R38DB5JVSQU","Girish Gajbhiye","Well deserved praise for content to know the secrets of 100 plus age and healthy body and mind","Reviewed in India on 30 August 2022","Search ikigai of your life",5,"",0
"R35FSB1YKHNSNB","shashikant lohar","Japanese secret of long-lasting life . Must read book","Reviewed in India on 6 September 2022","Best book",5,"",0
"R1LQI7JP4MIJRT","Piyush","Awesome teachings for a happy life.Just loving the Japanese teachings and techniques for a better life.Thank you authors❤️🙏.","Reviewed in India on 29 August 2022","DIAMOND SWORD 💎",5,"https://m.media-amazon.com/images/I/71DhqL-nmfL.jpg",0
"R1U9XGKW74W14R","TENZIN",,"Reviewed in India on 7 October 2022","Book outer cover is Hard and Good in quality",5,"",0
"R2LUFN7VHGX26X","Kitch","THE BEST. Very engaging and makes you turn the pages without even knowing. Finished the book in a few days and was feeling very content with the read. It mainly talks about a community in Japan and if you love reading about new communities around the world and getting an insight into their cultures and lifestyles, absorbing the good things in their lives and realising the bad ones in our lives, go for it! The book is also aesthetically pleasing - calm and collected just like the content inside! Loved it! Surely would recommend this one to anyone who's still deciding whether or not to buy this small blue book.","Reviewed in India on 21 July 2022","One of the best books I've ever read!",5,"","2"
"R1X3ZLWG6BFQV7","Swati Bharati","I was bit scared at first that will it be original aur pirated but I am so happy that it is original one. From very long I wanted to read this.","Reviewed in India on 21 August 2022","Loved it...",5,"",1
"R2Y06C1WBMVUVR","Amazon Customer","Excellent book. Quality of book also good.","Reviewed in India on 1 September 2022","Excellent book",5,"",0
"RYANBHMBTECDZ","Pawan Konwar","The product came to me damaged and there was also a very peculiar smell","Reviewed in India on 23 September 2022","Overall good but packaging could be improved",3,"",0
"RCMEY90KASOKT","Rupak vasudev","A complete book describing all ways to live a relaxed ,balanced life..Enjoyed to read it.It describes food, yoga ,Chinese and Japanese exercises,culture etc.","Reviewed in India on 15 August 2022","Very good book to guide about the way of life",5,"",0
"R1988IEGMELC4L","Nikita Adhau","It's an amazing book that teach you to find your own Ikigai, we all must do those things which gives happiness and helps you to lead a prosperous life.","Reviewed in India on 15 August 2022","Ikigai",5,"",0
"RZN4UFSRK4Z8D","Amazon Customer","This is a great read. The quality of book is pretty good and shipping & Amazon delivery experience was awesome.","Reviewed in India on 21 August 2022","Great Book, Shipped quickly",5,"",0
"R2WXMN6PF96XFW","suman adhikary","Book was clean with no dents.","Reviewed in India on 31 August 2022","Arrived undamaged",5,"",0
"R1THISKAL3JLXI","ramesh","I have heard about finding our purpose in life.This book gives us simple tools to find our purpose and live a long and fulfilling life","Reviewed in India on 15 August 2022","Purpose makes life fulfilling",5,"",0
"R1XBOH8IAZCBJG","Placeholder","Planned to gift this book for my cousin but it was a last minute decision to buy this book so we actually went to book shop and when we enquired about the price they said it will cose ₹550 then when I was checking it in Amazon it was ₹285 and it was mentioned will be delivered next day so placed order in Amazon it was delivered by morning 10am no big difference I found in the book look, material and paper quality all remained same.","Reviewed in India on 13 May 2022","Worth the deal",4,"","2"
"R1X6WT00XOKY21","Siddharth Insan","Good book about finding purpose of life.","Reviewed in India on 10 July 2022","Great book",4,"https://m.media-amazon.com/images/I/81LDR7lMZ5L.jpg",0
"R2OKMZ3PIS2KU","Priya","Wonderful book. Tells you about the purpose  of living","Reviewed in India on 15 August 2022","Wonderful read",5,"",0
"R1ENHXBD4JGMPG","Deepjyoti Adhikary","Everyone must read . Best book ever","Reviewed in India on 11 August 2022","Best book",5,"",0
"RV8JEAPWI79ZR","Hari prakash M","Helps me to improve myself.","Reviewed in India on 11 August 2022","Good book",5,"",0
"ROIOPF4LK3LP0","Tsewang Dorjee","Good","Reviewed in India on 5 September 2022","👍🏻",3,"",0
"R9QMYPSIX1FPV","Nalin Rai","The title of the book suggests that it is unravelling The Japanese Secrets to a Long and Happy Life, but it also does incorporate the key elements from Indian way of life i.e.Yoga and the Chinese way of life i.e. Tai Chi. Indeed the key point that emerges from the book is that one should keep on moving and not spend most of the time of the day either sitting or lying down.It also dispels the notion that one should start withdrawing from the activities after one is officially retired and advocated that staying active is what would be the deciding factor if one aspires to complete a century on this planet- which incidentally is a Japanese quote from where the book starts. Does it not seem so pertinent in the times that we are living in- the Corona times. IKIGAI actually means living a meaningful life. Though Japan is a major rice growing country, the book advocates drawing from the patterns of food from people residing in Okinawa in Japan is that the food plate construct on a daily basis should be dominated by vegetables and Tofu,  and there is a particular emphasis on the size of the plate. The plate should not be large, as we normally have in Indian conditions but it should be of medium size.However  one may be hungry, one should aspire to eat 80% only which is called as Hara hachi bu in Japanese and were we to follow the maxim it would take care of quite a lot of health related issues that we are confronted with, associated with over eating.Interestingly enough Japanese have been practising the concept of saving called as Moai-where farmers get together to share best practices and also help one another with meager harvests. In the times of distress that the farming community is in the country, can we aspire to have such kind of a group of farmers. Farmers Producers Organizations have been formed but they need to converge to the concept of Moai to make it really effective.This group also had the provision of a monthly contribution akin the idea of SELF HELP GROUPS with a difference that the contribution is utilised for social activities and left over from the contribution is given a member based on his requirements.The book has tried to assimilate other such initiatives from around the world but the bottom line is that one has to find flow in everything that one is doing.  There should not be any distraction or multi-tasking at all as it does not help anyway. To attain the flow, the authors have requested to adopt the policy of leaving the cell phones one hour before going to sleep, and one hour after getting up. Tough act to adopt? Each one of us has a passion inside us or the Ikigai and if we have found it we need to practice and fine tune it, and if not yet, it is incumbent upon us to discover it.NALIN RAI","Reviewed in India on 9 April 2020","Be Slow and Things would fall in Place",5,"","2"
"R1K1N54DQ2ALFQ","Suraj","Everything is great about this book .So happy to know about it .It's has a nice and cute size about my palm and the hardcover binding is also good .Nothing to complain","Reviewed in India on 23 July 2022","You may proceed without thinking twice",5,"https://m.media-amazon.com/images/I/71+0vXffBaL.jpg
https://m.media-amazon.com/images/I/71xE4qG2ZKL.jpg
https://m.media-amazon.com/images/I/810oeYIlLzL.jpg
https://m.media-amazon.com/images/I/811CSi1IMmL.jpg",0
"R35XRBGUGW65Y0","Dm",,"Reviewed in India on 11 August 2022","Book quality is super good 👍",5,"https://m.media-amazon.com/images/I/617B94C-hfL.jpg",0
"R3DHRRAGWDTXBW","Ayush Jadhav ","this is not a motivational book . all book is about living life longer and happily ......Its quit boring for me ...","Reviewed in India on 18 August 2022","Average",3,"",1
"RVO25CPVZPCYG","awantika tiwari","Must read bookOne should buy it for seeing the change in herself","Reviewed in India on 30 July 2022","Must read book",5,"",0
"R3MOEBDDKCOX0I","Janani","The quality of the book is excellent.... it's very useful book for whom doesn't know what's their purpose of life and helps to find their 'Ikigai'.... This book guides to go in the flow of life ... "" A book is a gift you can open again and again ""....","Reviewed in India on 27 April 2022",".",4,"https://m.media-amazon.com/images/I/81M50A9HF7L.jpg",0
"R2UUNHSMAMDIEP","Nilesh","Good work on Japanese tradition of igikai .. easy to understand and follow","Reviewed in India on 30 July 2022","Inspiring book",5,"",0
"R10JDEGZVN8MVC","Arjun"," Good quality papers and nice binding no damages","Reviewed in India on 19 August 2022","Nice Book",5,"",0
"R20FKLMINOMG79","Neha K","One must keep this in collection. Good book to read","Reviewed in India on 19 August 2022","One must read",3,"",0
"R1NE9JU1RITBU7","Rajiv s.","Highly recommended..it helps to change your way to do things on daily basis..good book..","Reviewed in India on 30 July 2022","Amazing book",5,"",0
"R1CWM49I9DUYCG","Viraj","Simple, meaningful and something to ponder over.....great work by the authors! Like the conclusions drawn at the end and all the anecdotes!","Reviewed in India on 23 May 2022","A good read",4,"",0
"R3TP4DFAU3XN1Y","Rajesh K.","A simple book on discovering your ikigai I.e. meaningfulness of this life. Live longer stay stronger . Balance your mind, body, soul put them in sync with your right rituals, practices.","Reviewed in India on 10 July 2022","Ikigai for everyone",5,"",0
"R18LKVIWOE6BM2","SB",,"Reviewed in India on 28 August 2022","Good",5,"",1
"R1C4OCD450E016","Sonu ","I was expecting some extraordinary facts or anything but this is like something that I have already read somewhere in bits","Reviewed in India on 29 July 2022","Not what I was expecting",3,"",1
"R37NBW5JIQ2IRN","Kindle Customer","Sometimes when I feel low in life or when puzzled with tough life changing decisions, I read this book and it makes me happy and helps me clear my mind...","Reviewed in India on 3 July 2022","A must read book",5,"",0
"R1WU7RSU8WF8W4","Vinith Arockiasamy",,"Reviewed in India on 26 July 2022","The book quality is excellent.",5,"https://m.media-amazon.com/images/I/81yWvP0fC5L.jpg",0
"R2N1UWJ2U6DQ6V","monika mishra","Good book, delivery on time","Reviewed in India on 23 July 2022","Good book",5,"",0
"R18XULGPGS8USK","Amazon Customer","My first book! Lots to learn from Japanese culture ❤️. Worth a read to keep your self motivated. I am now on my journey to find my ikigai.","Reviewed in India on 30 June 2022","Awesome 👏",5,"",0
"REZBEFHU3KN9U","Gayathri","One Must Read this book, my first book ever I started with and I'm glad I chose Ikigai to start with reading :)","Reviewed in India on 7 July 2022","Must Read!",5,"",0
"R3K9U53685WFXH","Naveen Kumar"," Recieved good copy. Perfect condition. I was worried that ikigai is getting pirated alot but i got good one from coocblu retails. Quick 2 days delivery to rural Telangana. Lovely. thanks cocoblu and amazon","Reviewed in India on 24 July 2022","From cocoblu retails seller",5,"","5"
"R1HF66T44H4WHW","Richa Madhawi","Useful , nicely written & informativeVery good book, once you start reading then you cannot stop yourself from finishing.","Reviewed in India on 5 July 2022","must read",5,"",0
"R3TBQOPEJJ349F","Akankasha",,"Reviewed in India on 30 August 2022","See the book cover has oil stain.Not expected from Amazon..",3,"https://m.media-amazon.com/images/I/61wB9nr0UnL.jpg",0
"R6Q330DP8WNX4","Umang Rai","The delivery was satisfying! But the hardcover was dirty .... yellow stain on it ! Overall the book is great!","Reviewed in India on 25 April 2022","Cover",4,"",0
"R39RTICPSB7I3F","Namesake","Contents of the book doesn't match the hype created over it.","Reviewed in India on 24 July 2022","Hyped",3,"",0
"R5MVQG0AEW0FS","Anuska Paul"," Thankfully I got the original print.... That was the only think I was bothered about","Reviewed in India on 21 July 2022","Loved it...",5,"",0
"R10707NB14QTAK","Rahul Soni","Go for it.","Reviewed in India on 16 July 2022","Valuable lessons , looks nice and great to read.",5,"https://m.media-amazon.com/images/I/71YCvbLvT3L.jpg",0
"R298FYXUE86J3W","Adhisha Gomasta","Everyone should read this.","Reviewed in India on 15 May 2022","Very good book! Must buy!",4,"",1
"RU4R6DQWS43XO","NEERAJ","Wow what a book, apart from the book content the packaging and the paper quality was superb","Reviewed in India on 1 July 2022","Best book I read",5,"",0
"R2S8SDRDWHUKMO","Pramod P Nair","Nothing else to say. If you are looking for a book on how do you balance between passion and work to be the best at everything. This is it.","Reviewed in India on 12 June 2022","Good book to read for personal growth",5,"",0
"R25BLSL6NGQP3I","Pinaakeen","Very inspiring and helping book for those who are into self improvement. Well elaborated topics and you can evaluate yourself and take necessary care for wellness and healthy habits. Personally, after middle of the book, I valued myself and took actions and Guess what? It was not tough but  helpful. I deleted my all social network accounts and eradicate all meaningless things. I allocated precious time with my loved ones. It works and gives most satisfying thing.This book will help you boost your willingness towards positivity.IKIGAI :  STRONGLY RECOMMONDED - MUST READ","Reviewed in India on 26 March 2022","Antidote for modernised world",5,"https://m.media-amazon.com/images/I/719gvqcMNRL.jpg
https://m.media-amazon.com/images/I/71T8kHnrwFL.jpg
https://m.media-amazon.com/images/I/71eU1YgEB+L.jpg
https://m.media-amazon.com/images/I/71jSOYtBvVL.jpg",0
"R1UBTG8KT7NWOZ","Anukriti","To be completely honest I bought this book just because of its cover. I mean just take a moment and observe it, the perfect shade of blue with white flowers. Simplicity at its best. This book has some sort of vibe, I still remember how I smiled when I opened the amazon parcel and found this bundle of positivity and happiness. The sheer pleasure of caressing its pages which is very different as compared to the regular pages of other novels, it gives you immense relief Idk how and why, but it does. Coming to the main content, the book starts by telling the meaning of Ikigai i.e.,purpose of your life, reason to get out of your bed every morning happily and how finding your Ikigai will lead to a long and happy life. The importance of society and a friendly neighbourhood is well put.The interviews of the Japanese Centenarians explains why they are the longest living human beings on this planet, they do the simple activities like gardening also with full enthusiasm, they aren’t spending their retirement resting on an arm chair instead they attend Karaoke nights, indulge in group activities, sell their produce in vegetable market and believe in eating simple and exercising.They live in present and enjoy every moment happily. Because being aware of the impermanence of things does not have to make us sad; it should help us love the present and those who surround us.'🦋Our Ikigai is different for all of us but one thing we have in common is that we are all searching for meaning. There is no perfect strategy of connecting with our ikigai. But what we learned from the Okinawans is that we should not worry too much about finding it. Like the author said “Life is not a problem to be solved. Just remember to have something that keeps you busy doing what you love while being surrounded by the people who love you”. The simplest things are often the most beautiful, and this book is the perfect example of this statement. ' Eat right, exercise, and do what makes you happy'...by following this motto, we can definitely find our 'ikagai', our reason to live.","Reviewed in India on 23 August 2020","The Best Things In Life Are Simple !",5,"https://images-na.ssl-images-amazon.com/images/I/714nlI84ZKL.jpg","20"
"R3L064ZX7WY5D4","Tushar Kisan Mohite","This book nothing but life of everyone who extract medicine within self and makes happy and prosperous life from birth to till death. That is called ikigai.","Reviewed in India on 8 June 2022","way of happiness while in challenges",5,"",0
"R11BFIK7HIAI89","Abin s",,"Reviewed in India on 21 July 2022","Nice product good paper n cover",3,"https://m.media-amazon.com/images/I/61lSTPQFlML.jpg
https://m.media-amazon.com/images/I/71arp2NL+7L.jpg",0
"R338KEVFJ4ZUYN","Riya","It's all about seeking happiness","Reviewed in India on 27 April 2022","Must read",4,"",0
"R1CDJZZN5QSXDJ","Parul sambyal","You can change your habits by reading this book","Reviewed in India on 24 April 2022","Nice",4,"",0
"R3AJHN9P4AV7XC","Shilpa bhatia","Ikigai came to me at a moment when I was feeling distracted and lost from my ultimate goal. Also, I really feel sad to see my 75 plus mom in law and 65 plus mom to see sticking to bed and complaining that they are good for nothing now. I don’t want to be one of these old women who can’t rejoice life anymore, I wish to have both mental and physical strength in my old age too that’s why I have entertained Yoga to my daily routine.The book starts with Japanese proverb “Only staying active will make you want to live a hundred years” and it touches the art of staying young while growing old and also shares antiaging secrets. It also recommends to find flow in everything you doand master longevity. It gives a comparison of logotherapy of psychotherapy and prefers the previous. Apart from that, the book also tells the experience tales of centenarians as how they made it upto living longer and healthier life. The diet and exercise carry an essential ingredient in a perfect recipe of life.“Nana Korobi Ya Oki/ Fall seven times, rise eight” is the key to remain antifragile and be resilient to deal with the setbacks. Follow the philosophies of Budhism and Stoicism which aim at practicing well being while you are enjoying life’s pleasures. According to stoicism, we should be able to control our emotions and curb our ego and negative emotions.I even loved the ‘wabi sabi’ and ‘ichi-go ichi-e’ concepts which tell us that instead of looking for beauty in perfection, we should look out beauty in the given things-the things  that are incomplete and temporary.Although the content on Yoga is something I just skipped because these were known facts and considerations.On the whole, Ikigai is a beautiful gift to the society. It leads you from darkness to light and follow a right path to healthy lifestyle. Worry less, Walk an extra mile and Weigh your burdens less. A good diet and some sort of exercise is needed to be added. Above all, everyone must have some purpose in life. It is the reason to live ‘ikigai’ and not anything else,  which keeps you going. The authors Hector Garcia and Francesc Miralles stress on never retire policy so as to stay young inside.","Reviewed in India on 16 April 2020","A Fresh Start",5,"","6"
"R1P023PI8YG6ZI","Rajarshi Khasnobish","I have no complaint regarding the book quality or shipping, but what I expected was a bookmark from Amazon.","Reviewed in India on 5 April 2022","A must read...",4,"",0
"R1ZMSRVGQTU051","Indrajith Mourya GMB","Gives key insights of Japanese lifestyle and practices helps everyone to lead long, happy and purposeful life. Must read book.","Reviewed in India on 13 June 2022","Art of living",5,"",0
"R1TPEUJ9OQC5SL","shreya","The product was in good condition expect for the edges. Would have loved if it came in any sort of protective wrap. The edges were a little damaged but nothing major. Other than that the book itself is great","Reviewed in India on 17 March 2022","Great book. Packaging could be better",4,"",0
"RBP7MHOESI5G7","George","The book is written in an easy uncomplicated manner and gives us something to think about in our busy fast paced lives. The book centers around the people of Japan especially in the villages and the wonderful enriching lives they lead","Reviewed in India on 9 March 2022","A book for everyone",4,"",0
"R3GUYV6P0N4N0M","ASIF AHMED","Don't go by reviews, its quite boring. Repeatedly emphasizes on long living. Seems like a dietician's book or a documentary on old Japanese people. ""Zindagi badi honi chahiye, lambi nhi"" (Strive to live big rather than long).","Reviewed in India on 4 October 2022","Disappointing",2,"",0
"R3584Q6O8U8K1Q","BHUPENDRA SHARMA","Ikigai is one of the best self help books that encourages you to find your ikigai( reason to jump out of your bed each morning).This book tells us the Japanese secrets to live  a long and happy life.","Reviewed in India on 4 March 2022","Must read !!!",4,"",0
"R1813CRNOSQC5D","prasanth","Boring","Reviewed in India on 17 July 2022","Ok ok",3,"",0
"R2LB22RNAOEAPF","Shubham","About the quality of book received:It was in good condition, without any wear/tear, didn't find any missing pages, quality of pages were also good.About the content of this book:Well, I read the book with an expectation that by the end of this book, I'll have certain idea of (or atleast know how to find) what I am passionate about(in terms of the book, 'find my ikigai'), but I found that through most of the chapters, the author has talked about how to live like 150 years of healthy life, in other words he has assumed that everbodys ikigai is living long and healthy life, and one of the steps through which we can achieve that is by finding our 'passion'.At this stage I was like: dude, wtf was I reading this for?Overall this book was a fine print, though not exactly (not even close) to what I was looking for, but still, I found it a good enough read.","Reviewed in India on 12 August 2021","Average",4,"",1
