"id","profileName","text","date","title","rating","images","helpful","Colour"
"R17TYF2XANCOQZ","k.k","if you purchase in offer than it ll be ok.. little big and stylish but not accurate.","Reviewed in India on 14 October 2022","good in discount price...",4,"",0,"Pitch Black"
"R3SY1RA0YUAELJ","Shine Varghese","PURCHASED TWO WEEKS BACK. GOOD PRODUCT. WORKS FINE.","Reviewed in India on 13 October 2022","GOOD",4,"",0,"Olive Green"
"R3MIGEZS1LQ4I6","Vedesh M.","Product is awesome 🤠 and nice look ❤️","Reviewed in India on 14 October 2022","If product is 3000 buy not a problem",4,"https://m.media-amazon.com/images/I/61rqc+cDW9L.jpg",0,"Charcoal Black"
"R3L1P2MR3FOH61","Sarika Singhal","It is good but screen sensitivity in low","Reviewed in India on 12 October 2022","Good 👍",4,"",0,"Pitch Black"
"R8IDPY9PCKU98","Khushboo Shah","I like the watch except the colour","Reviewed in India on 15 October 2022","The colour of the watch is literally pink,btw the watch is magnificent .",4,"",0,"Sandy Cream"
"R3URMUZZEKV7BF","Siya","Sometimes the screen is not working properly and alrexa also not responding even I don't use much but overall  good 😶‍🌫️","Reviewed in India on 5 October 2022","Almost good",4,"https://m.media-amazon.com/images/I/71oY-SX1FyL.jpg
https://m.media-amazon.com/images/I/81h+htDb11L.jpg",0,"Charcoal Black"
"RX3C155NMXV3G","Divya sengar","Btry 2se 3 dts hi chlti h use krne pr","Reviewed in India on 12 October 2022","B",4,"",0,"Charcoal Black"
"R1LKB06TDJFG6L","Ritik","Waste of money if u r looking for a smart watch. Can't connect with phone after 4-5 days. During this connection issue u can't get any notification nd calls. Such a worst product by boat .","Reviewed in India on 29 September 2022","Worst product",4,"",1,"Charcoal Black"
"R6PU593UHC14T","Sonu","Super 😶😶","Reviewed in India on 16 October 2022","Great product ❤️❤️",4,"",0,"Charcoal Black"
"RIMQ0JHVUQL9R","Sarabjeetkaur","Good watch but lemi tell you one thing the wake gesture is delay and it is bad and talking about sleep tracking it is like 4 star not too much accurate but closer to accuracy step count not accurate","Reviewed in India on 3 October 2022","Must read",4,"https://m.media-amazon.com/images/I/6123SZ+viYL.jpg
https://m.media-amazon.com/images/I/61NU8WKDCUL.jpg",1,"Charcoal Black"
"RBPXP54BC73T9","Princedeshwal","I love the product","Reviewed in India on 9 October 2022","Vertical good",4,"",0,"Sandy Cream"
"R1CIMFK5N45WAW","Rojarao","Worth it","Reviewed in India on 10 October 2022","Calling feature not available",4,"",0,"Charcoal Black"
"R1W1WE8R9Z5LBJ","Hanif","Nice","Reviewed in India on 15 October 2022","Nice",4,"",0,"Charcoal Black"
"R15IB6W473643W","Simarpreet s.","Very lite weight, very comfortable ( you can use watch upto 5 hour)","Reviewed in India on 6 October 2022","Nice product",4,"https://m.media-amazon.com/images/I/7110dQ8D9ZL.jpg",0,"Pitch Black"
"R38C21C3J0D06B","Bikramjit Singh","I like","Reviewed in India on 5 October 2022","Note wark",4,"",0,"Sandy Cream"
"R2SPV0GPK93Z3S","Umesh Rachannavar","It's ok...","Reviewed in India on 7 October 2022","All ok...but notification of msg,what's up is not working properly...same msg is shown many times",4,"",0,"Charcoal Black"
"R2CBA8PSN5BZE3","Mahabub Rahaman",,"Reviewed in India on 6 October 2022","Good",4,"https://m.media-amazon.com/images/I/71ESsTKrvRL.jpg",0,"Sandy Cream"
"R1UI8LMEASS4YW","Krishang rathor ","Good","Reviewed in India on 12 October 2022","Good watch",4,"",0,"Pitch Black"
"R3VQISGYIPXZ73","Satyasri","Everything is good but battery life is not good. Charging decreases very fastly.","Reviewed in India on 10 October 2022","Everythung is good but battery life is not so good. Charging decreases very fastly.",4,"https://m.media-amazon.com/images/I/71CpGuvI1OL.jpg",0,"Pitch Black"
"R2J5472O70P8OC","RanjeetaRam","Good product","Reviewed in India on 12 October 2022","Good product",4,"",0,"Olive Green"
"R164249BKI2D3U","Rajesh Verma","My boat watch is not working and not working after one year","Reviewed in India on 6 October 2022","My boat watch is not working and not changed after one year",4,"",0,"Olive Green"
"RSWTHRO94HRO0","Tanmay B","So far it has performed well, great value for the price tag.","Reviewed in India on 2 October 2022","So far it has performed well",4,"",0,"Pitch Black"
"R3DC5HV3PNT63K","Nazma Ali","Good 👍I brought 3 watches, one for me and 2for my sisters.","Reviewed in India on 9 October 2022","I loved it 👍",4,"https://m.media-amazon.com/images/I/71op7WZnBYL.jpg",0,"Charcoal Black"
"R7HX5OOTMJLUG","Sandip Uttam","Gud","Reviewed in India on 4 October 2022","गुड",4,"",0,"Pitch Black"
"R2PA4G0A64M1CF","Ritik choudhary","Performence is good but it shows some laging","Reviewed in India on 10 October 2022","Good performence",4,"https://m.media-amazon.com/images/I/71xQYm4l6UL.jpg",0,"Charcoal Black"
"R2L08F88CFY9HB","Debabarna S.","I love the product","Reviewed in India on 6 October 2022","Good",4,"",0,"Charcoal Black"
"R14XYV8TOV6KAY","Raj Saha","Always SPO2 shows 97%","Reviewed in India on 2 October 2022","SPO2 not working properly",4,"",0,"Pitch Black"
"R3SGLRDW6N65C4","GOUSEPEER","Super disigne  looking is good","Reviewed in India on 5 October 2022","Super",4,"https://m.media-amazon.com/images/I/51j286ndDDL.jpg
https://m.media-amazon.com/images/I/51ltlHhnbtL.jpg",0,"Charcoal Black"
"R37MLWTJG9RLSE","Ashik gulam","Worth to buy","Reviewed in India on 3 October 2022","Worth to buy",4,"https://m.media-amazon.com/images/I/61Vwu15gL+L.jpg",0,"Sandy Cream"
"R1KB473MY550QC","Mahesh","Calling facility not present","Reviewed in India on 5 October 2022","Return",4,"",0,"Pitch Black"
"R19KGK0E6SNXPE","Babita","Well yes I got my product todayAnd I bought it truly believing customer reviews about it and it worked out pretty well but yeah battery drains really fast and screen feels laggy. I had some issues setting up Amazon AlexaAndThe build quality is really impressiveYou should definitely go for it.","Reviewed in India on 19 September 2022","This is awesome",4,"https://m.media-amazon.com/images/I/6133d597DoL.jpg
https://m.media-amazon.com/images/I/61fPaxtjuZL.jpg","4","Pitch Black"
"R2X4WVME665W0R","Anuja Tikekar","Loved the color n touch screen.Seems good as of now.Will review again after using for a month.","Reviewed in India on 29 September 2022","Just started using it so far a good one",4,"https://m.media-amazon.com/images/I/61Kf7+jgOyL.jpg",0,"Sandy Cream"
"RDOSSZPPL7L29","Vinoth","1)It is good for Working2)Budget Product3) Daily 3% of Charger Consume without Bluetooth Connecting4) NIce finish Display5) College Students _Office staffs for Sutable6)Medium Display size","Reviewed in India on 30 September 2022","Good Product, Money Worth",4,"",1,"Charcoal Black"
"R36HK2QZ67J5MY","Esmeralda Donald Dcunha","Nice product, worth buying","Reviewed in India on 8 October 2022","Nice product, worth it",4,"",0,"Sandy Cream"
"R2AGWOFDQZCWXK","Tanmay",,"Reviewed in India on 10 October 2022","At this price range the product is very good....",4,"https://m.media-amazon.com/images/I/71UFRqYnfyL.jpg",0,"Olive Green"
"R2SWBMG3SKNI4C","Rama Krishna Anumola","keep up the good work","Reviewed in India on 11 October 2022","Nice",4,"",0,"Olive Green"
"R353OPQ8Y93WGK","Neetesh Patel",,"Reviewed in India on 11 October 2022","sleep tracking can't work .",4,"https://m.media-amazon.com/images/I/61fEu8FsrcL.jpg",0,"Charcoal Black"
"R3DWV2VW8P1CYR","Anant S Kamat","Heart beat, BP measurement not accurate","Reviewed in India on 3 October 2022","Average product",4,"",0,"Pitch Black"
"R24TRFEGOQE2EC","AR","Good watch with nice features like SPO2 monitoring,  BP monitoring and heart rate monitoring.Touchscreen response is sloppy and irritating sometimes.Otherwise all goodJust be careful while buying anything other than black strap, the colour you see and that arrives may be different.I ordered a peach pink colour but got baby pink instead, and despite change request several times ...am-zn and seller denied my request. (This is one of those times I felt I should've bought this from a physical shop so that I could handle the return physically,  the customer service here is a joke.)","Reviewed in India on 3 September 2022","Good but can be better.",4,"","11","Sandy Cream"
"R24ZBTABXA6JGE","Vidya","Affordable price. With good quality","Reviewed in India on 6 October 2022","Goog",4,"",0,"Sandy Cream"
"R3FSRBP9MB3UBC","Jambu","Okay","Reviewed in India on 4 October 2022","Value for money",4,"",0,"Pitch Black"
"RWUHIVJSBP001","Debarya Ghosh","I have received this product a couple of days ago and now I am going to give an honest review of it.This product is a great item if you are looking for a budget smartwatch. For its price, it provides quite accurate measurements of your BPM, stress, SPO2 etc. I have verified it's measurements with an actual oximeter and it proved to be accurate. However, the pedometer of the watch randomly adds around 100 steps. The pedometer is accurate otherwise.The touch display of the 1.69"" watch impressed me. The watch has a sharp display, and smooth touch, which makes you feel like you are on a smartphone. The response time is quite well too. However, the animations lag which is not very eye pleasing, but workable.The battery is great. The watch would be powered on for one whole night and would not lose a single percent of battery. Even while using, it loses a reasonable amount of power. For first time users, who just received their product: You might notice the battery is draining extremely quick. Do not panic. It is recommended to charge the battery for at least 2 hours before first use. It stabilizes the battery. The next time you use your watch, it would work as normal.The built-in Alexa is perhaps my favorite feature of this watch. It's response time is around 5 seconds, and is quite fun to use a virtual assistant on the go. It can tell you facts, jokes, weather, calculations, translations and loads of other stuff, which might be useful for quickly looking up something. However, Alexa does not have a speaker. It gives a text output. The text output can sometimes end with ""..."" (ellipses) which mean the output is too long to print. It can also fail to provide relevant output at times.You need to log in to Alexa with your Amazon account in the boAt Wave App.There are 100+ watch faces in the wave app, which you can use to customize your watch with whatever that suits your personality. You can even use your own pictures. However, you cannot customize the time font if you choose to do that, which, in my opinion, is quite limiting.Notifications in the watch is pretty cool, and comes in handy when you do not wish to open your phone for it. Call alerts come, and you can reject them but not accept. Makes sense as the watch does not have a speaker. It vibrates.It has a good build quality and is water-resistant.Other cool features are sleep tracking, breathing exercise, alarms, timers, flashlights etc.Overall, a pretty decent watch if you are looking for something in this range of price.","Reviewed in India on 7 May 2022","More than what you pay for",4,"","8","Sandy Cream"
"RKUP84OSDTPK0","upendra kumar kushwaha","Battery capacity 4-5 days working.","Reviewed in India on 4 October 2022","Nice product",4,"https://m.media-amazon.com/images/I/715A5TjgfqL.jpg",1,"Pitch Black"
"R10Q729D0KLSW1","Sakthideepa77","Amazing 👏 I really love ❤ it . Such a wonderful product ! Must buy once","Reviewed in India on 28 September 2022","Fabulous 👌",4,"",0,"Sandy Cream"
"R1LEHOONHZ8X8M","Kittu Kittu Jat",,"Reviewed in India on 29 September 2022","Helpful⌚😇",4,"https://m.media-amazon.com/images/I/71OGjsOpEqL.jpg",0,"Sandy Cream"
"R2OMX8TE5V7LA7","K venkatesh","Very nice good item","Reviewed in India on 3 October 2022","Ok good item",4,"",0,"Charcoal Black"
"R35DL38IUAH2XD","preeti sharma","Lost connection with phone frequently","Reviewed in India on 28 September 2022","Good",4,"",0,"Pitch Black"
"R23QP317VQDFLV","Vaishnavi Mahale","Looks classy. I liked it. I bought it during the sale. 🥳","Reviewed in India on 26 September 2022","Classyvand worth a buy!",4,"https://m.media-amazon.com/images/I/61A7gL01MaL.jpg
https://m.media-amazon.com/images/I/71bO5ML7pYL.jpg",0,"Charcoal Black"
"R24738EYSO5O3B","Sohan Lal","Started using from Wednesday 24 Aug at 5pm with 100% charge. Some day uses 10% or more in 1 day and some day use 6 to 8% battery with connectned with boat wave app. Toady on 30 Aug 2020at 1.45pm battery is 32% as per track i think its battery lasts for 7 to 8 days. 1 more thing double tap on screen wake up feature work only when connected with boat app. Not use yet sleep data function","Reviewed in India on 30 August 2022","Good watch.. Need to make easy and proper way to exit from boat wave app",4,"",1,"Charcoal Black"
"RHKKV246ETXI9","Piyush Khewalkar","The accuracy is so close!Go for it 💯","Reviewed in India on 1 October 2022","As Expected ✨",4,"https://m.media-amazon.com/images/I/41DzaaQD8tL.jpg
https://m.media-amazon.com/images/I/51U3cYtSu3L.jpg
https://m.media-amazon.com/images/I/61PFc5ElogL.jpg
https://m.media-amazon.com/images/I/61eAUI0MrPL.jpg",0,"Olive Green"
"R3QTJ6ZDHB742","Shakti singh","Nice product in budget range. Screen touch could be more sensitive. Battery backup is ok.Alexa support in this budget is nice thing. Highly disappointed with android mobile app. Even hangs in new smartphone. Automatically disconnect many times.But all over the product is good.","Reviewed in India on 15 September 2022","Value for money",4,"","2","Charcoal Black"
"R3A6W3I30ZTYOP","pawan bhamar","Features wise ok","Reviewed in India on 14 October 2022","Features wise ok",4,"",0,"Charcoal Black"
